Date,Volume,Rain,Temp
11/17/2016,933,9,2.1
11/18/2016,1197,6.7,3.9
11/19/2016,243,5.4,2
11/20/2016,234,3.9,2.8
11/21/2016,2148,7.3,2.8
11/22/2016,1782,0.8,4.5
11/23/2016,2136,4.8,6.5
11/24/2016,1962,0,1.1
11/25/2016,1638,1,3.1
11/26/2016,384,0,5.4
11/27/2016,396,0,2.6
11/28/2016,2175,0,-1.3
11/29/2016,1884,0,-2.7
11/30/2016,1908,0,-0.5
12/1/2016,1620,0,0.7
12/2/2016,1464,0,1.4
12/3/2016,213,0,-1.7
12/4/2016,246,0,-2
12/5/2016,2079,0,4.5
12/6/2016,1860,0,-1.7
12/7/2016,1539,0,2
12/8/2016,1743,10.3,5.7
12/9/2016,1608,0,3.4
12/10/2016,261,0.3,2.1
12/11/2016,354,3.4,0.5
12/12/2016,1941,0,-1.1
12/13/2016,1701,0,-1.6
12/14/2016,1503,0,-3.8
12/15/2016,1416,0,-4.8
12/16/2016,1413,0,-0.5
12/17/2016,189,0,-1
12/18/2016,138,0,-2.9
12/19/2016,1611,0,0.8
12/20/2016,1512,0.1,2.5
12/21/2016,1329,0,3.5
12/22/2016,1068,0.3,3.1
12/23/2016,537,0,2
12/24/2016,132,2.6,3
12/25/2016,117,0,3.2
12/26/2016,180,0,3
12/27/2016,465,0,3
12/28/2016,429,0,-1.4
12/29/2016,459,0,-0.8
12/30/2016,426,0,2.8
12/31/2016,231,0,5.4
1/1/2017,183,0,1.1
1/2/2017,1752,0,-2.8
1/3/2017,1956,0,-2.5
1/4/2017,1854,0,-3.1
1/5/2017,1113,0,-10.1
1/6/2017,1134,0,-5.4
1/7/2017,222,1.8,-0.4
1/8/2017,207,0,-3.3
1/9/2017,1920,0,0.5
1/10/2017,1395,1.6,2.6
1/11/2017,1287,4.2,2.9
1/12/2017,1707,6.7,1
1/13/2017,1437,0,-3
1/14/2017,210,0,-3.1
1/15/2017,234,0,-4.9
1/16/2017,1746,0,-5.5
1/17/2017,1911,0,-3.3
1/18/2017,1542,0.6,-2.8
1/19/2017,1677,0,-0.2
1/20/2017,1440,0,2.2
1/21/2017,225,0,0.8
1/22/2017,225,0,0
1/23/2017,1797,0,-3.1
1/24/2017,1581,0,-3.6
1/25/2017,1653,0,-0.7
1/26/2017,1572,0,1.4
1/27/2017,1368,0,-0.1
1/28/2017,246,0,-0.1
1/29/2017,174,0,-0.2
1/30/2017,1797,1.3,1.6
1/31/2017,1704,0,-0.8
2/1/2017,1605,0,-0.3
2/2/2017,1518,0.6,-0.3
2/3/2017,1341,1.1,0.1
2/4/2017,183,0,-0.3
2/5/2017,120,0.3,0.3
2/6/2017,1707,0.3,-0.6
2/7/2017,1485,0,-5.8
2/8/2017,1242,0,-6.8
2/9/2017,1254,0,-5.5
2/10/2017,1062,0.7,-4.2
2/11/2017,153,0.1,-3.1
2/12/2017,189,0,-4.4
2/13/2017,1614,0,-3.9
2/14/2017,1512,0,-3.7
2/15/2017,1428,0,-4.4
2/16/2017,1323,0,-2.2
2/17/2017,1350,0,-1.3
2/18/2017,132,0,-2.6
2/19/2017,225,0.6,1.7
2/20/2017,1308,0,3
2/21/2017,1374,0,2.8
2/22/2017,789,10.2,1
2/23/2017,984,0.4,-0.8
2/24/2017,801,0,-2.2
2/25/2017,129,0,-3.1
2/26/2017,144,8.4,0
2/27/2017,1326,3,2.5
2/28/2017,1149,13.6,3.1
3/1/2017,1362,6.1,2.2
3/2/2017,1359,0,-0.9
3/3/2017,1251,0.3,-0.4
3/4/2017,219,0.3,-0.1
3/5/2017,258,0.1,-1.5
3/6/2017,1803,0,-2.4
3/7/2017,1488,0,-2.9
3/8/2017,1536,0,-2.5
3/9/2017,1131,3.4,0.8
3/10/2017,1425,0.3,3.1
3/11/2017,345,0,1.8
3/12/2017,282,1.7,2.5
3/13/2017,1833,0.1,2.1
3/14/2017,2034,1.8,4
3/15/2017,2307,1.2,6.8
3/16/2017,2190,0,4
3/17/2017,1968,0,5.1
3/18/2017,597,0,1.6
3/19/2017,693,0.1,0.7
3/20/2017,1710,2.3,1.8
3/21/2017,2148,3.6,3.2
3/22/2017,2634,0,3
3/23/2017,2571,0,2.7
3/24/2017,2172,0,2.3
3/25/2017,1008,0,6.2
3/26/2017,1659,0,10.4
3/27/2017,3693,0,9.4
3/28/2017,4002,0,7.8
3/29/2017,3111,0,4
3/30/2017,2172,0,2.9
3/31/2017,1845,8.1,3.1
4/1/2017,870,10.4,5.9
4/2/2017,1533,0.1,7.3
4/3/2017,4089,0,5.6
4/4/2017,3963,0,5.5
4/5/2017,3843,0,7
4/6/2017,3501,0.1,5.7
4/7/2017,3801,0,10.4
4/8/2017,1353,0,9.1
4/9/2017,1410,0,7.9
4/10/2017,1872,0.4,8.7
4/11/2017,1998,0,6.8
4/12/2017,1065,2.6,5.1
4/13/2017,231,4.5,2.8
4/14/2017,447,8.2,0.5
4/15/2017,447,0,-0.4
4/16/2017,582,0,1.6
4/17/2017,1137,0,2.2
4/18/2017,4119,0,2.7
4/19/2017,4569,0,4.6
4/20/2017,4179,0,7.3
4/21/2017,4005,0,7.2
4/22/2017,1503,0,6.9
4/23/2017,1848,0,4.9
4/24/2017,1173,4.9,1.6
4/25/2017,1791,3.3,3.4
4/26/2017,4056,0,5
4/27/2017,3540,0,3.2
4/28/2017,2262,0.1,3.9
4/29/2017,1392,3.8,5.7
4/30/2017,1926,0,6.6
5/1/2017,2487,0,7.7
5/2/2017,5655,0,11.5
5/3/2017,6099,0,11.9
5/4/2017,5997,0,11.6
5/5/2017,5496,0,15.5
5/6/2017,2364,0,16.7
5/7/2017,1650,1,9.4
5/8/2017,5409,0,6
5/9/2017,5163,0,5.3
5/10/2017,1875,4,2
5/11/2017,2073,15.9,3.6
5/12/2017,3672,0.1,6.2
5/13/2017,2742,0,8.6
5/14/2017,921,0.5,9
5/15/2017,4452,3.2,9
5/16/2017,3426,1.5,8
5/17/2017,471,18.4,11.3
5/18/2017,2760,15.6,13.5
5/19/2017,4563,0.2,14.9
5/20/2017,1767,0,15.6
5/21/2017,2388,0.3,13.7
5/22/2017,5991,0.2,12.2
5/23/2017,6438,0,13.3
5/24/2017,6033,0,15.3
5/25/2017,2199,0,16.1
5/26/2017,3345,0,17.5
5/27/2017,1851,0,16.9
5/28/2017,1863,0,15.3
5/29/2017,6456,0,16.8
5/30/2017,4518,0.9,12.9
5/31/2017,5193,0.8,13
6/1/2017,5976,1.5,12.1
6/2/2017,4317,0,10.3
6/3/2017,1035,0.9,11.3
6/4/2017,528,0.1,12.6
6/5/2017,2661,8.6,14.5
6/6/2017,4377,3,15.2
6/7/2017,2901,0.5,13.5
6/8/2017,3492,12,13
6/9/2017,2820,7.4,12.4
6/10/2017,933,25.4,14.3
6/11/2017,1035,2.2,13.3
6/12/2017,5544,3,15.4
6/13/2017,6606,0,16.4
6/14/2017,5952,0.1,17.4
6/15/2017,5598,0,16.8
6/16/2017,2673,0.4,16
6/17/2017,2007,2.2,18.1
6/18/2017,2346,0,19.1
6/19/2017,5901,0,16
6/20/2017,6303,4,15.4
6/21/2017,5916,0,15.4
6/22/2017,5247,0,15.4
6/23/2017,3459,0,14.8
6/24/2017,1731,5.6,16.6
6/25/2017,1755,0,14.3
6/26/2017,5205,0.1,14.9
6/27/2017,5949,3,14.6
6/28/2017,5391,0,16.3
6/29/2017,4746,0,17.6
6/30/2017,4323,0,19.4
7/1/2017,1488,0,20.4
7/2/2017,1842,0,17.9
7/3/2017,4167,0,16.2
7/4/2017,4560,0,15.7
7/5/2017,4287,0.9,15.5
7/6/2017,4005,0,16
7/7/2017,3006,0,16.4
7/8/2017,654,20.9,15.9
7/9/2017,1470,1.8,17.1
7/10/2017,1896,0.2,14.8
7/11/2017,1566,6.6,15.4
7/12/2017,2595,0.6,13.9
7/13/2017,2562,0.9,14.8
7/14/2017,2034,0,16.4
7/15/2017,1182,0,17.1
7/16/2017,753,16.4,16.1
7/17/2017,2136,11.7,15.5
7/18/2017,2304,0,16.8
7/19/2017,2136,0,17.3
7/20/2017,2253,0,19.7
7/21/2017,1539,0,17.1
7/22/2017,1194,0,19.1
7/23/2017,1215,0,20.2
7/24/2017,2037,0,17.7
7/25/2017,2484,0,19.9
7/26/2017,2082,0.3,18.6
7/27/2017,1551,0.4,17.1
7/28/2017,1725,9.8,16.5
7/29/2017,984,0,16
7/30/2017,1239,0.9,16.2
7/31/2017,2715,10.6,16.1
8/1/2017,3900,1.2,16.1
8/2/2017,2784,1,15.5
8/3/2017,2934,0.3,14.9
8/4/2017,2397,7.8,15.8
8/5/2017,1041,4.7,16.4
8/6/2017,906,17.8,15.1
8/7/2017,4353,6.3,14.2
8/8/2017,5655,2.9,16.7
8/9/2017,2028,11.2,14.7
8/10/2017,5322,31.3,17.8
8/11/2017,4251,0,16.3
8/12/2017,1437,0,16
8/13/2017,2103,1.9,15.2
8/14/2017,6345,0,14.8
8/15/2017,5433,0,15.4
8/16/2017,5292,19.1,17.4
8/17/2017,5385,0,16.2
8/18/2017,3474,9.6,16.2
8/19/2017,1320,5.8,15.4
8/20/2017,2283,0.1,15.3
8/21/2017,5859,0,15.2
8/22/2017,6999,0.8,13.6
8/23/2017,6201,0,13.9
8/24/2017,4941,0,13.4
8/25/2017,4650,0,15.1
8/26/2017,1455,0,14
8/27/2017,1959,0,13.9
8/28/2017,6201,0,15.3
8/29/2017,3378,7.6,16.3
8/30/2017,6048,0.2,14.2
8/31/2017,4566,0,12.5
9/1/2017,4515,1.2,12.5
9/2/2017,1698,0,13.6
9/3/2017,1959,0,14.3
9/4/2017,4830,0,11.7
9/5/2017,3843,0.2,12.5
9/6/2017,2676,4.4,12.4
9/7/2017,4053,23.7,11.1
9/8/2017,3486,0,11.2
9/9/2017,621,5.4,11.6
9/10/2017,1155,23,12.4
9/11/2017,2997,10.9,12.7
9/12/2017,3111,16.9,13.2
9/13/2017,4488,12.9,11.9
9/14/2017,4449,13.9,11.9
9/15/2017,3717,0,12
9/16/2017,1329,2,12.5
9/17/2017,1338,0,12
9/18/2017,5145,0,12.5
9/19/2017,4623,0.2,11.4
9/20/2017,3837,0.2,9.4
9/21/2017,4056,2.9,8.7
9/22/2017,3531,0,11.5
9/23/2017,879,2.1,12.2
9/24/2017,1101,0,13.4
9/25/2017,4710,0.1,13.7
9/26/2017,4800,0,13.1
9/27/2017,4647,1.4,13.6
9/28/2017,4230,0,12.8
9/29/2017,3741,0,11.4
9/30/2017,1230,0,12
10/1/2017,708,0,11.3
10/2/2017,1950,10.5,11.6
10/3/2017,3669,8.2,11.8
10/4/2017,3375,0,7.5
10/5/2017,3255,2.6,6.9
10/6/2017,2508,0,9.9
10/7/2017,1086,0,7.9
10/8/2017,1281,0,7.9
10/9/2017,4947,0,6.6
10/10/2017,4458,0,4.7
10/11/2017,3066,2.2,5.1
10/12/2017,3510,18.7,9.2
10/13/2017,3441,0.2,7.3
10/14/2017,1230,8.1,10.9
10/15/2017,843,0,9.6
10/17/2017,4296,4.8,9.5
10/18/2017,4722,2.9,5.9
10/19/2017,3999,0,4.8
10/20/2017,3033,0.3,6.4
10/21/2017,762,1.3,6.9
10/22/2017,375,4.9,5.1
10/23/2017,4209,2.8,4.1
10/24/2017,2550,0.8,4.3
10/25/2017,3423,26.8,4.2
10/26/2017,3639,0.2,5.6
10/27/2017,3126,0.6,5.8
10/28/2017,1083,0,8.1
10/29/2017,1023,0.1,5.8
10/30/2017,3780,0,2.4
10/31/2017,3726,0,3.4
11/1/2017,3330,0,4.4
11/2/2017,3630,0.2,4.8
11/3/2017,2898,0,2.9
11/4/2017,729,0,3.6
11/5/2017,366,12.6,6.1
11/6/2017,3891,9.3,3.4
11/7/2017,2964,0,3
11/8/2017,3291,1.1,5.9
11/9/2017,2781,0.1,6.6
11/10/2017,2397,0.5,2.6
11/11/2017,459,7.6,-0.1
11/12/2017,411,0,-0.2
11/13/2017,2661,0,1.1
11/14/2017,2160,0,-0.9
11/15/2017,1797,3.5,-0.3
11/16/2017,1746,0,1.3
11/17/2017,1671,4.9,3.6
11/18/2017,318,0,0.6
11/19/2017,330,0.4,-0.3
11/20/2017,2364,0,-2.6
11/21/2017,2181,0,-3.8
11/22/2017,1449,0.4,-3.7
11/23/2017,1356,15.4,6
11/24/2017,1953,3.1,2.6
11/25/2017,342,0,0.9
11/26/2017,321,0.6,2
11/27/2017,2589,1.5,0.3
11/28/2017,1764,1.1,-0.5
11/29/2017,1935,1.5,-0.3
11/30/2017,1758,0,-0.6
12/1/2017,1533,0,-2.8
12/2/2017,225,0,-4.3
12/3/2017,234,0.2,-2.4
12/4/2017,2154,0,-2.7
12/5/2017,1992,0,-1
12/6/2017,1584,2.3,0.4
12/7/2017,1557,0.7,4.9
12/8/2017,1599,0.3,3.9
12/9/2017,360,0,1.2
12/10/2017,252,0,-4.5
12/11/2017,1974,0.1,-2
12/12/2017,1944,0,-5.1
12/13/2017,1419,0,-5
12/14/2017,1422,3,-0.6
12/15/2017,1308,0,-1.3
12/16/2017,213,0,-2.2
12/17/2017,246,0.5,-8
12/18/2017,1662,0.3,-3.6
12/19/2017,1530,0.1,-3.9
12/20/2017,1530,0.1,-0.3
12/21/2017,1185,0.3,-3.2
12/22/2017,744,0,-3.3
12/23/2017,201,0,0.8
12/24/2017,111,1.1,-1.3
12/25/2017,105,0,-0.1
12/26/2017,105,2.7,1.6
12/27/2017,339,12.5,1.7
12/28/2017,246,4.1,1.2
12/29/2017,285,7.4,-0.3
12/30/2017,171,0,-3.4
12/31/2017,129,0.4,-1.2
1/1/2018,135,5.1,1.9
1/2/2018,1608,1.3,0.1
1/3/2018,1686,0.1,-0.9
1/4/2018,1578,3.4,1
1/5/2018,1410,0,-1.2
1/6/2018,180,0,-3.8
1/7/2018,153,0,-6.6
1/8/2018,1878,0,-2.8
1/9/2018,1650,0,-6.9
1/10/2018,1527,0,-1.9
1/11/2018,1380,3.7,-2.1
1/12/2018,1182,2.6,-3.2
1/13/2018,147,0,-2.3
1/14/2018,189,0,-2.7
1/15/2018,1239,0,-1.9
1/16/2018,633,9.1,0
1/17/2018,1140,7.2,0
1/18/2018,1296,0.2,-3.1
1/19/2018,1131,0.1,-2.9
1/20/2018,120,0.4,-2.4
1/21/2018,165,0.6,-2.9
1/22/2018,1533,0,-4.4
1/23/2018,1080,1.2,-1.1
1/24/2018,942,11.9,3
1/25/2018,1125,2.9,3.4
1/26/2018,1194,0,-0.6
1/27/2018,183,0,-3.8
1/28/2018,159,5.3,0.2
1/29/2018,1434,0.1,-2.1
1/30/2018,1290,2.3,-4.3
1/31/2018,1032,1.4,0.9
2/1/2018,1032,8.4,0.5
2/2/2018,888,0.8,-6.4
2/3/2018,147,0,-7.4
2/4/2018,117,0,-8.4
2/5/2018,1125,0,-8.1
2/6/2018,1125,0,-5.2
2/7/2018,1140,0,-4.7
2/8/2018,1080,0,-4.7
2/9/2018,810,6.3,-0.1
2/10/2018,123,0.7,-1.4
2/11/2018,117,1.2,-2
2/12/2018,777,5.7,-1
2/13/2018,1176,3.2,-3.4
2/14/2018,1200,0,0.6
2/15/2018,1170,1.3,-0.2
2/16/2018,903,1.3,-1.2
2/17/2018,159,0,-4.2
2/18/2018,126,0.9,-0.8
2/19/2018,969,3.7,-1.2
2/20/2018,987,0,-3.8
2/21/2018,972,0,-3.1
2/22/2018,753,0,-4.8
2/23/2018,618,0,-3.7
2/24/2018,126,0,-3.8
2/25/2018,132,1.1,-6.7
2/26/2018,942,0.1,-9.2
2/27/2018,969,0.1,-9.5
2/28/2018,861,1.2,-11.4
3/1/2018,744,0,-11.4
3/2/2018,735,0,-7.1
3/3/2018,99,0,-5.8
3/4/2018,117,0,-4.3
3/5/2018,1269,0,-4.7
3/6/2018,1131,0,-3.9
3/7/2018,1299,0,-1.7
3/8/2018,1161,0,-1.8
3/9/2018,1089,0,-3
3/10/2018,192,0,-3.3
3/11/2018,126,0,-3
3/12/2018,978,3.6,-0.2
3/13/2018,1236,0.9,0.8
3/14/2018,1350,0,-0.7
3/15/2018,1233,0,-2.6
3/16/2018,1035,0,-6.2
3/17/2018,171,0,-6.3
3/18/2018,228,0,-6.1
3/19/2018,1395,0,-1.1
3/20/2018,1620,0.5,2
3/21/2018,1431,0,1.7
3/22/2018,1467,0,1.8
3/23/2018,1281,0,-0.2
3/24/2018,192,0,2.8
3/25/2018,336,0,3.5
3/26/2018,687,0,-0.6
3/27/2018,654,0,-2.6
3/28/2018,393,0,-2.5
3/29/2018,240,0,-1.5
3/30/2018,165,0,-1.9
3/31/2018,225,0,-1.4
4/1/2018,330,0,0.2
4/2/2018,606,0,0
4/3/2018,2193,0,-0.1
4/4/2018,1440,5.3,2.5
4/5/2018,1488,4.6,3.1
4/6/2018,2007,5.3,4.6
4/7/2018,681,0,3.2
4/8/2018,564,0,3.9
4/9/2018,2022,5.6,3.3
4/10/2018,2943,2.4,4.5
4/11/2018,3099,0,4.6
4/12/2018,3276,0,7
4/13/2018,3063,0,8.4
4/14/2018,1356,0,10.8
4/15/2018,1971,0,10.7
4/16/2018,4326,0,7.6
4/17/2018,4650,0,7.5
4/18/2018,4560,1.6,10.5
4/19/2018,4473,0,10
4/20/2018,3789,0,8.3
4/21/2018,1872,0,10.8
4/22/2018,2190,0,9.3
4/23/2018,3828,0,7.4
4/24/2018,5136,4.6,7.5
4/25/2018,5556,0,8.5
4/26/2018,5241,0,8.3
4/27/2018,4086,0,7.4
4/28/2018,1545,0,6.9
4/29/2018,2175,0,8.1
4/30/2018,4278,0,8.8
5/1/2018,531,11.6,4.4
5/2/2018,5412,1,8.2
5/3/2018,3957,0.1,7.7
5/4/2018,5046,3,8.3
5/5/2018,3501,0,12.5
5/6/2018,2895,0,13.2
5/7/2018,6666,0,13.3
5/8/2018,6942,0,14.6
5/9/2018,6765,0,16.8
5/10/2018,2937,0,17.8
5/11/2018,2763,6.7,14.5
5/12/2018,1908,0.2,13.3
5/13/2018,2475,0,16.7
5/14/2018,7665,0,19.4
5/15/2018,7986,0,19.8
5/16/2018,7125,0,18.9
5/17/2018,864,0,13
5/18/2018,4440,0,14.4
5/19/2018,2061,0,15.3
5/20/2018,2259,0,15.2
5/21/2018,2859,0,15.8
5/22/2018,7722,0,16.7
5/23/2018,7953,0,18.6
5/24/2018,7572,0,19
5/25/2018,6657,0,20.6
5/26/2018,2484,0,21.9
5/27/2018,2946,0,22.2
5/28/2018,7725,0,18.7
5/29/2018,8394,0.6,21
5/30/2018,8127,0,24.2
5/31/2018,7539,0,23
6/1/2018,6450,0,22
6/2/2018,2136,0,22.4
6/3/2018,2769,3.3,23.3
6/4/2018,7953,0,19.4
6/5/2018,8085,0,13.9
6/6/2018,7920,0,15.5
6/7/2018,7197,0,20
6/8/2018,6435,0,21.5
6/9/2018,2526,0,20.5
6/10/2018,2451,0,20.5
6/11/2018,5907,10.2,16.6
6/12/2018,7818,0,18.1
6/13/2018,7392,0,16.7
6/14/2018,4284,0.6,14.3
6/15/2018,5577,4.8,15.5
6/16/2018,2433,0,15.8
6/17/2018,804,4.7,13.1
6/18/2018,6312,21.6,14.4
6/19/2018,7203,0,16
6/20/2018,5871,0,12.1
6/21/2018,5013,0,11.7
6/22/2018,5073,0.2,13.1
6/23/2018,2073,0,15.9
6/24/2018,2334,0,18.5
6/25/2018,6756,0,23.1
6/26/2018,6888,0,23.4
6/27/2018,6483,0,22.2
6/28/2018,5913,0,21.5
6/29/2018,5097,0,17.6
6/30/2018,1884,0,17.3
7/1/2018,2106,0,20.4
7/2/2018,5097,0,21.7
7/3/2018,5097,0,23.6
7/4/2018,4968,0,22.8
7/5/2018,4626,0,19.4
7/6/2018,3507,0,21.8
7/7/2018,1278,0,20.5
7/8/2018,1587,0,21.4
7/9/2018,2724,0,17.7
7/10/2018,3468,2,23.4
7/11/2018,3207,0,25
7/12/2018,2688,0,21.5
7/13/2018,2490,3.1,22.3
7/14/2018,1356,0,20.5
7/15/2018,1377,0,20.7
7/16/2018,2745,0,21.9
7/17/2018,2556,0.8,24.6
7/18/2018,2421,0,22.1
7/19/2018,2577,0,22.5
7/20/2018,2130,0,21.2
7/21/2018,1440,0,20.6
7/22/2018,1473,0,20.8
7/23/2018,2760,0,22.8
7/24/2018,2871,0,23.3
7/25/2018,2913,0,22.7
7/26/2018,2676,0,24.3
7/27/2018,2043,0,25.9
7/28/2018,1095,0,24.7
7/29/2018,1635,11.6,22.3
7/30/2018,4236,0,21
7/31/2018,4416,0.4,23.5
8/1/2018,4704,8,21.3
8/2/2018,4494,0,19.8
8/3/2018,3576,0,19.8
8/4/2018,1575,0,21.8
8/5/2018,1983,0,19.6
8/6/2018,6255,0,17.1
8/7/2018,6459,0,18.5
8/8/2018,5061,0.9,18.4
8/9/2018,6123,7.3,20.7
8/10/2018,2064,15.6,16.1
8/11/2018,2211,2.3,15.4
8/12/2018,1371,4.1,12.8
8/13/2018,7431,2.9,15.3
8/14/2018,7548,0,15.8
8/15/2018,6867,0,15.6
